year,lhd_name,lhd_area_type,county_name,expenditures,population,per_capita_spending
2018,Cabarrus County Health Department,Single,Cabarrus,"23,687,208.00","201,448.00",117.58
2019,Cabarrus County Health Department,Single,Cabarrus,"23,889,921.00","212,917.00",112.20
2020,Cabarrus County Health Department,Single,Cabarrus,"22,556,709.00","216,608.00",104.14
2008,Carteret County Health Department,Single,Carteret,"4,342,724.00","64,736.00",67.08
2009,Carteret County Health Department,Single,Carteret,"4,075,011.00","65,670.00",62.05
2010,Carteret County Health Department,Single,Carteret,"4,036,435.00","66,469.00",60.73
2011,Carteret County Health Department,Single,Carteret,"4,098,918.00","67,418.00",60.80
2012,Carteret County Health Department,Single,Carteret,"3,908,984.00","68,434.00",57.12
2013,Carteret County Health Department,Single,Carteret,"3,903,723.00","68,388.00",57.08
2014,Carteret County Health Department,Single,Carteret,"3,791,361.00","69,497.00",54.55
2015,Carteret County Health Department,Single,Carteret,"4,217,568.00","69,742.00",60.47
2016,Carteret County Health Department,Single,Carteret,"4,171,422.00","69,871.00",59.70
2017,Carteret County Health Department,Single,Carteret,"4,426,639.00","68,921.00",64.23
2018,Carteret County Health Department,Single,Carteret,"4,574,248.00","68,920.00",66.37
2019,Carteret County Health Department,Single,Carteret,"4,772,600.00","71,163.00",67.07
2020,Carteret County Health Department,Single,Carteret,"5,559,884.00","71,640.00",77.61
2000,Catawba County Health Department,Single,Catawba,"8,447,178.34","142,443.00",59.30
2001,Catawba County Health Department,Single,Catawba,"8,344,982.12","145,000.00",57.55
2002,Catawba County Health Department,Single,Catawba,"8,228,326.77","145,395.00",56.59
2003,Catawba County Health Department,Single,Catawba,"8,667,763.67","145,601.00",59.53
2004,Catawba County Health Department,Single,Catawba,"9,529,712.54","145,783.00",65.37
2005,Catawba County Health Department,Single,Catawba,"9,876,423.41","148,629.00",66.45
2006,Catawba County Health Department,Single,Catawba,"10,101,579.82","148,386.00",68.08
2007,Catawba County Health Department,Single,Catawba,"10,693,790.86","152,448.00",70.15
2008,Catawba County Health Department,Single,Catawba,"11,485,844.97","152,354.00",75.39
2009,Catawba County Health Department,Single,Catawba,"11,733,288.42","154,610.00",75.89
2010,Catawba County Health Department,Single,Catawba,"11,986,881.90","154,358.00",77.66
2011,Catawba County Health Department,Single,Catawba,"12,135,389.81","154,459.00",78.57
2012,Catawba County Health Department,Single,Catawba,"11,656,649.76","155,692.00",74.87
2013,Catawba County Health Department,Single,Catawba,"11,285,374.96","154,965.00",72.83
2014,Catawba County Health Department,Single,Catawba,"10,566,019.54","155,977.00",67.74
2015,Catawba County Health Department,Single,Catawba,"10,277,227.42","156,197.00",65.80
2016,Catawba County Health Department,Single,Catawba,"9,087,885.76","156,774.00",57.97
2017,Catawba County Health Department,Single,Catawba,"8,031,711.24","157,852.00",50.88
2018,Catawba County Health Department,Single,Catawba,"8,294,862.33","156,729.00",52.92
2019,Catawba County Health Department,Single,Catawba,"8,586,966.55","159,494.00",53.84
2020,Catawba County Health Department,Single,Catawba,"8,841,400.21","160,504.00",55.09
1999,Cleveland County Health Department,Single,Cleveland,"6,557,638.00","95,293.00",68.82
2000,Cleveland County Health Department,Single,Cleveland,"7,840,915.00","96,394.00",81.34
2001,Cleveland County Health Department,Single,Cleveland,"7,762,713.00","96,554.00",80.40
2002,Cleveland County Health Department,Single,Cleveland,"7,274,927.00","96,660.00",75.26
2003,Cleveland County Health Department,Single,Cleveland,"7,319,696.00","97,241.00",75.27
2004,Cleveland County Health Department,Single,Cleveland,"7,308,482.00","96,435.00",75.79
2005,Cleveland County Health Department,Single,Cleveland,"8,090,304.00","96,844.00",83.54
2006,Cleveland County Health Department,Single,Cleveland,"8,504,757.00","95,607.00",88.96
2007,Cleveland County Health Department,Single,Cleveland,"9,150,789.00","97,524.00",93.83
2008,Cleveland County Health Department,Single,Cleveland,"10,172,097.00","96,967.00",104.90
2009,Cleveland County Health Department,Single,Cleveland,"11,556,679.00","98,211.00",117.67
2010,Cleveland County Health Department,Single,Cleveland,"11,072,680.00","98,078.00",112.90
2011,Cleveland County Health Department,Single,Cleveland,"10,521,718.00","97,442.00",107.98
2012,Cleveland County Health Department,Single,Cleveland,"11,535,948.00","97,523.00",118.29
2013,Cleveland County Health Department,Single,Cleveland,"9,077,198.00","96,873.00",93.70
2014,Cleveland County Health Department,Single,Cleveland,"11,538,680.00","97,646.00",118.17
2015,Cleveland County Health Department,Single,Cleveland,"12,571,783.00","97,755.00",128.61
2016,Cleveland County Health Department,Single,Cleveland,"13,138,090.00","98,069.00",133.97
2017,Cleveland County Health Department,Single,Cleveland,"12,515,588.00","97,134.00",128.85
2018,Cleveland County Health Department,Single,Cleveland,"13,504,062.00","97,159.00",138.99
2019,Cleveland County Health Department,Single,Cleveland,"13,915,952.00","99,776.00",139.47
1999,Dare County Health Department,Single,Dare,"2,574,499.00","29,366.00",87.67
2000,Dare County Health Department,Single,Dare,"2,634,308.00","30,170.00",87.32
2001,Dare County Health Department,Single,Dare,"2,886,561.00","31,069.00",92.91
2002,Dare County Health Department,Single,Dare,"3,190,525.00","32,083.00",99.45
2003,Dare County Health Department,Single,Dare,"3,817,593.00","32,697.00",116.76
2004,Dare County Health Department,Single,Dare,"4,009,107.00","33,974.00",118.01
2005,Dare County Health Department,Single,Dare,"4,292,679.00","33,354.00",128.70
2006,Dare County Health Department,Single,Dare,"4,816,212.00","34,421.00",139.92
2007,Dare County Health Department,Single,Dare,"5,213,994.00","33,541.00",155.45
2008,Dare County Health Department,Single,Dare,"5,827,643.00","34,142.00",170.69
2009,Dare County Health Department,Single,Dare,"6,811,119.00","33,679.00",202.24
2010,Dare County Health Department,Single,Dare,"6,453,184.00","33,920.00",190.25
2011,Dare County Health Department,Single,Dare,"6,373,311.00","34,156.00",186.59
2012,Dare County Health Department,Single,Dare,"6,489,834.00","34,759.00",186.71
2013,Dare County Health Department,Single,Dare,"6,406,513.00","34,810.00",184.04
2014,Dare County Health Department,Single,Dare,"7,023,583.00","35,377.00",198.54
2015,Dare County Health Department,Single,Dare,"6,957,162.00","35,756.00",194.57
2016,Dare County Health Department,Single,Dare,"7,014,680.00","36,167.00",193.95
2017,Dare County Health Department,Single,Dare,"7,481,726.00","36,199.00",206.68
2018,Dare County Health Department,Single,Dare,"7,623,594.00","35,741.00",213.30
2019,Dare County Health Department,Single,Dare,"7,917,300.00","37,290.00",212.32
2006,Swain County Health Department,Single,Swain,"1,871,853.17","13,934.00",134.34
2007,Swain County Health Department,Single,Swain,"1,680,830.36","13,819.00",121.63
2008,Swain County Health Department,Single,Swain,"1,923,205.39","13,868.00",138.68
2009,Swain County Health Department,Single,Swain,"1,817,113.55","13,933.00",130.42
2010,Swain County Health Department,Single,Swain,"1,845,786.29","13,981.00",132.02
2011,Swain County Health Department,Single,Swain,"1,955,888.44","14,007.00",139.64
2012,Swain County Health Department,Single,Swain,"1,882,044.82","14,423.00",130.49
2013,Swain County Health Department,Single,Swain,"1,855,333.87","13,977.00",132.74
2014,Swain County Health Department,Single,Swain,"1,734,318.43","14,785.00",117.30
2015,Swain County Health Department,Single,Swain,"1,619,503.10","14,867.00",108.93
2016,Swain County Health Department,Single,Swain,"1,699,887.77","14,729.00",115.41
2017,Swain County Health Department,Single,Swain,"1,642,487.53","14,263.00",115.16
2018,Swain County Health Department,Single,Swain,"1,604,353.88","14,254.00",112.55
2019,Swain County Health Department,Single,Swain,"1,631,436.50","14,275.00",114.29
2020,Swain County Health Department,Single,Swain,"1,598,719.39","14,108.00",113.32
1999,Yadkin County Health Department,Single,Yadkin,"1,264,242.00","35,805.00",35.31
2000,Yadkin County Health Department,Single,Yadkin,"1,438,763.00","36,468.00",39.45
2001,Yadkin County Health Department,Single,Yadkin,"1,566,970.00","36,605.00",42.81
2002,Yadkin County Health Department,Single,Yadkin,"1,605,051.00","36,914.00",43.48
2003,Yadkin County Health Department,Single,Yadkin,"1,618,746.00","37,301.00",43.40
2004,Yadkin County Health Department,Single,Yadkin,"1,588,706.00","36,976.00",42.97
2005,Yadkin County Health Department,Single,Yadkin,"1,739,445.00","37,591.00",46.27
2006,Yadkin County Health Department,Single,Yadkin,"1,762,133.00","37,614.00",46.85
2007,Yadkin County Health Department,Single,Yadkin,"1,868,367.00","37,965.00",49.21
2008,Yadkin County Health Department,Single,Yadkin,"2,110,173.00","38,126.00",55.35
2009,Yadkin County Health Department,Single,Yadkin,"2,595,523.64","38,293.00",67.78
2010,Yadkin County Health Department,Single,Yadkin,"2,716,611.21","38,406.00",70.73
2011,Yadkin County Health Department,Single,Yadkin,"2,614,934.35","38,342.00",68.20
2012,Yadkin County Health Department,Single,Yadkin,"2,219,118.02","38,269.00",57.99
2013,Yadkin County Health Department,Single,Yadkin,"1,782,521.95","38,063.00",46.83
2014,Yadkin County Health Department,Single,Yadkin,"1,329,810.29","37,850.00",35.13
2015,Yadkin County Health Department,Single,Yadkin,"1,359,909.53","37,730.00",36.04
2016,Yadkin County Health Department,Single,Yadkin,"1,408,674.77","37,828.00",37.24
2017,Yadkin County Health Department,Single,Yadkin,"1,702,505.00","37,588.00",45.29
2018,Yadkin County Health Department,Single,Yadkin,"1,467,770.50","37,665.00",38.97
2019,Yadkin County Health Department,Single,Yadkin,"1,305,296.58","38,196.00",34.17
2020,Yadkin County Health Department,Single,Yadkin,"1,407,855.73","38,236.00",36.82
2000,Wayne County Health Department,Single,Wayne ,"4,958,586.80","113,656.00",43.63
2001,Wayne County Health Department,Single,Wayne ,"5,887,619.29","114,127.00",51.59
2002,Wayne County Health Department,Single,Wayne ,"5,980,424.57","114,786.00",52.10
2003,Wayne County Health Department,Single,Wayne ,"6,008,438.04","114,595.00",52.43
2004,Wayne County Health Department,Single,Wayne ,"6,262,271.67","116,698.00",53.66
2005,Wayne County Health Department,Single,Wayne ,"6,443,977.97","117,009.00",55.07
2006,Wayne County Health Department,Single,Wayne ,"6,454,414.31","117,898.00",54.75
2007,Wayne County Health Department,Single,Wayne ,"6,784,564.63","118,942.00",57.04
2008,Wayne County Health Department,Single,Wayne ,"6,886,665.09","120,000.00",57.39
2009,Wayne County Health Department,Single,Wayne ,"7,169,592.05","121,217.00",59.15
2010,Wayne County Health Department,Single,Wayne ,"7,299,846.99","122,623.00",59.53
2011,Wayne County Health Department,Single,Wayne ,"7,520,977.52","124,038.00",60.63
2012,Wayne County Health Department,Single,Wayne ,"7,654,409.92","125,169.00",61.15
2013,Wayne County Health Department,Single,Wayne ,"7,638,654.78","124,587.00",61.31
2014,Wayne County Health Department,Single,Wayne ,"7,545,670.09","125,646.00",60.05
2015,Wayne County Health Department,Single,Wayne ,"7,381,571.60","125,217.00",58.95
2016,Wayne County Health Department,Single,Wayne ,"7,180,526.86","125,120.00",57.39
2017,Wayne County Health Department,Single,Wayne ,"6,867,042.66","123,034.00",55.81
2018,Wayne County Health Department,Single,Wayne ,"7,437,700.24","124,002.00",59.98
2019,Wayne County Health Department,Single,Wayne ,"7,531,200.31","125,825.00",59.85
2020,Wayne County Health Department,Single,Wayne ,"7,357,447.33","126,606.00",58.11
2000,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,149,703.00","92,063.00",45.07
2001,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,287,499.00","93,963.00",45.63
2002,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,400,298.00","96,286.00",45.70
2003,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,399,918.00","96,866.00",45.42
2004,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,714,279.00","97,756.00",48.22
2005,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,952,997.00","98,251.00",50.41
2006,Granville-Vance District Health Department,Multi-county,Granville & Vance,"4,758,035.00","99,905.00",47.63
2007,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,002,770.00","102,032.00",49.03
2008,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,380,923.00","103,602.00",51.94
2009,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,396,026.00","104,634.00",51.57
2010,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,572,060.00","102,951.00",54.12
2011,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,466,449.00","102,791.00",53.18
2012,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,474,729.00","103,164.00",53.07
2013,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,704,252.00","102,253.00",55.79
2014,Granville-Vance District Health Department,Multi-county,Granville & Vance,"6,180,133.00","102,808.00",60.11
2015,Granville-Vance District Health Department,Multi-county,Granville & Vance,"6,055,629.00","103,232.00",58.66
2016,Granville-Vance District Health Department,Multi-county,Granville & Vance,"5,968,541.00","104,035.00",57.37
2017,Granville-Vance District Health Department,Multi-county,Granville & Vance,"6,072,389.00","103,653.00",58.58
2018,Granville-Vance District Health Department,Multi-county,Granville & Vance,"6,592,721.00","103,356.00",63.79
2019,Granville-Vance District Health Department,Multi-county,Granville & Vance,"6,662,220.00","107,375.00",62.05
2000,Greene Health Department,Single,Greene,"1,015,216.68","18,978.00",53.49
2001,Greene Health Department,Single,Greene,"941,375.26","18,984.00",49.59
2002,Greene Health Department,Single,Greene,"954,526.51","19,365.00",49.29
2003,Greene Health Department,Single,Greene,"1,005,979.27","19,848.00",50.68
2004,Greene Health Department,Single,Greene,"1,135,021.40","19,730.00",57.53
2005,Greene Health Department,Single,Greene,"1,272,460.86","20,146.00",63.16
2006,Greene Health Department,Single,Greene,"1,423,119.81","20,457.00",69.57
2007,Greene Health Department,Single,Greene,"1,539,580.42","21,178.00",72.70
2008,Greene Health Department,Single,Greene,"1,595,064.21","20,940.00",76.17
2009,Greene Health Department,Single,Greene,"1,709,736.25","21,253.00",80.45
2010,Greene Health Department,Single,Greene,"1,741,202.26","21,362.00",81.51
2011,Greene Health Department,Single,Greene,"1,474,702.76","21,514.00",68.55
2012,Greene Health Department,Single,Greene,"1,722,153.53","21,239.00",81.08
2013,Greene Health Department,Single,Greene,"1,603,802.12","21,011.00",76.33
2014,Greene Health Department,Single,Greene,"1,459,167.85","21,101.00",69.15
2015,Greene Health Department,Single,Greene,"1,441,363.02","21,016.00",68.58
2016,Greene Health Department,Single,Greene,"1,429,305.59","21,274.00",67.19
2017,Greene Health Department,Single,Greene,"1,523,737.73","20,963.00",72.69
2018,Greene Health Department,Single,Greene,"1,673,625.01","21,008.00",79.67
2019,Greene Health Department,Single,Greene,"1,685,232.94","21,050.00",80.06
2017,Montgomery County Health Department,Single,Montgomery,"1,870,445.00","27,269.00",68.59
2018,Montgomery County Health Department,Single,Montgomery,"1,887,144.00","27,338.00",69.03
2019,Montgomery County Health Department,Single,Montgomery,"1,816,312.00","27,666.00",65.65
2017,Pender County Health Department,Single,Pender,"4,997,120.99","60,719.00",82.30
2018,Pender County Health Department,Single,Pender,"5,907,017.95","59,020.00",100.09
2019,Pender County Health Department,Single,Pender,"5,413,373.12","63,406.00",85.38
2020,Pender County Health Department,Single,Pender,"5,498,142.06","64,578.00",85.14
1999,Person County Health Department,Single,Person,"2,855,509.00","35,155.00",81.23
2000,Person County Health Department,Single,Person,"2,846,473.00","35,718.00",79.69
2001,Person County Health Department,Single,Person,"3,151,512.00","36,130.00",87.23
2002,Person County Health Department,Single,Person,"2,066,940.00","36,795.00",56.17
2003,Person County Health Department,Single,Person,"3,256,738.00","37,104.00",87.77
2004,Person County Health Department,Single,Person,"3,515,646.00","37,102.00",94.76
2005,Person County Health Department,Single,Person,"3,645,113.00","37,931.00",96.10
2006,Person County Health Department,Single,Person,"4,095,892.00","37,791.00",108.38
2007,Person County Health Department,Single,Person,"4,290,096.00","38,656.00",110.98
2008,Person County Health Department,Single,Person,"4,562,825.00","38,226.00",119.36
2009,Person County Health Department,Single,Person,"4,481,513.00","39,335.00",113.93
2010,Person County Health Department,Single,Person,"4,268,046.00","39,464.00",108.15
2011,Person County Health Department,Single,Person,"4,158,153.00","39,335.00",105.71
2012,Person County Health Department,Single,Person,"4,148,843.00","39,115.00",106.07
2013,Person County Health Department,Single,Person,"4,776,353.00","39,239.00",121.72
2014,Person County Health Department,Single,Person,"4,615,460.00","39,247.00",117.60
2015,Person County Health Department,Single,Person,"4,182,492.00","39,538.00",105.78
2016,Person County Health Department,Single,Person,"4,082,394.00","39,753.00",102.69
2017,Person County Health Department,Single,Person,"3,927,991.00","39,239.00",100.10
2018,Person County Health Department,Single,Person,"3,564,406.00","39,305.00",90.69
2019,Person County Health Department,Single,Person,"3,014,546.00","40,370.00",74.67
1999,Rowan County Health Department,Single,Rowan,"3,259,473.00","129,436.00",25.18
2000,Rowan County Health Department,Single,Rowan,"3,510,640.00","130,647.00",26.87
2001,Rowan County Health Department,Single,Rowan,"3,680,918.00","131,573.00",27.98
2002,Rowan County Health Department,Single,Rowan,"3,717,671.00","132,149.00",28.13
2003,Rowan County Health Department,Single,Rowan,"3,960,901.00","132,562.00",29.88
2004,Rowan County Health Department,Single,Rowan,"4,472,536.00","131,247.00",34.08
2005,Rowan County Health Department,Single,Rowan,"4,478,524.00","132,527.00",33.79
2006,Rowan County Health Department,Single,Rowan,"4,478,722.00","132,520.00",33.80
2007,Rowan County Health Department,Single,Rowan,"4,717,116.00","135,626.00",34.78
2008,Rowan County Health Department,Single,Rowan,"5,245,882.00","136,617.00",38.40
2009,Rowan County Health Department,Single,Rowan,"5,673,984.00","138,562.00",40.95
2010,Rowan County Health Department,Single,Rowan,"5,629,894.00","138,428.00",40.67
2011,Rowan County Health Department,Single,Rowan,"5,831,706.00","137,805.00",42.32
2012,Rowan County Health Department,Single,Rowan,"5,468,188.00","137,765.00",39.69
2013,Rowan County Health Department,Single,Rowan,"5,626,549.00","137,690.00",40.86
2014,Rowan County Health Department,Single,Rowan,"5,278,684.00","138,897.00",38.00
2015,Rowan County Health Department,Single,Rowan,"5,274,882.00","139,639.00",37.78
2016,Rowan County Health Department,Single,Rowan,"5,336,371.00","140,557.00",37.97
2017,Rowan County Health Department,Single,Rowan,"5,508,316.00","140,356.00",39.25
2018,Rowan County Health Department,Single,Rowan,"5,587,848.00","139,605.00",40.03
2019,Rowan County Health Department,Single,Rowan,"5,836,872.00","142,643.00",40.92
2009,Harnett County Health Department,Single,Harnett,"6,320,479.55","111,866.00",56.50
2010,Harnett County Health Department,Single,Harnett,"6,458,474.04","114,678.00",56.32
2011,Harnett County Health Department,Single,Harnett,"6,191,713.34","119,178.00",51.95
2012,Harnett County Health Department,Single,Harnett,"6,030,424.00","121,317.00",49.71
2013,Harnett County Health Department,Single,Harnett,"5,881,778.82","125,028.00",47.04
2014,Harnett County Health Department,Single,Harnett,"5,614,483.57","125,600.00",44.70
2015,Harnett County Health Department,Single,Harnett,"6,014,263.98","127,038.00",47.34
2016,Harnett County Health Department,Single,Harnett,"5,869,797.94","129,434.00",45.35
2017,Harnett County Health Department,Single,Harnett,"5,565,133.94","132,395.00",42.03
2018,Harnett County Health Department,Single,Harnett,"5,558,680.01","130,361.00",42.64
2019,Harnett County Health Department,Single,Harnett,"5,784,231.16","135,239.00",42.77
2020,Harnett County Health Department,Single,Harnett,"5,510,900.45","137,358.00",40.12
2001, Madison County Health Department ,Single,Madison,"889,814.73","19,675.00",45.23
2002, Madison County Health Department ,Single,Madison,"963,567.04","19,712.00",48.88
2003, Madison County Health Department ,Single,Madison,"1,175,505.10","19,873.00",59.15
2004, Madison County Health Department ,Single,Madison,"1,053,106.66","19,991.00",52.68
2005, Madison County Health Department ,Single,Madison,"1,166,634.40","20,097.00",58.05
2006, Madison County Health Department ,Single,Madison,"1,332,078.95","20,198.00",65.95
2007, Madison County Health Department ,Single,Madison,"1,243,229.39","20,420.00",60.88
2008, Madison County Health Department ,Single,Madison,"1,714,720.40","20,538.00",83.49
2009, Madison County Health Department ,Single,Madison,"2,211,913.80","20,700.00",106.86
2010, Madison County Health Department ,Single,Madison,"2,490,454.83","20,764.00",119.94
2011, Madison County Health Department ,Single,Madison,"2,360,427.22","20,845.00",113.24
2012, Madison County Health Department ,Single,Madison,"2,188,734.06","21,216.00",103.16
2013, Madison County Health Department ,Single,Madison,"2,657,316.35","21,147.00",125.66
2014, Madison County Health Department ,Single,Madison,"2,778,522.55","21,619.00",128.52
2015, Madison County Health Department ,Single,Madison,"2,765,190.67","21,619.00",127.91
2016, Madison County Health Department ,Single,Madison,"2,820,975.58","22,039.00",128.00
2017, Madison County Health Department ,Single,Madison,"2,888,826.90","21,563.00",133.97
2018, Madison County Health Department ,Single,Madison,"2,754,209.59","21,405.00",128.67
2019, Madison County Health Department ,Single,Madison,"3,059,660.38","22,602.00",135.37
2020, Madison County Health Department ,Single,Madison,"2,935,162.16","22,843.00",128.49
1999,Guilford County Health Department,Single,Guilford,"25,876,074.00","416,459.00",62.13
2000,Guilford County Health Department,Single,Guilford,"28,403,151.00","422,459.00",67.23
2001,Guilford County Health Department,Single,Guilford,"28,652,689.00","426,530.00",67.18
2002,Guilford County Health Department,Single,Guilford,"29,306,129.00","429,668.00",68.21
2003,Guilford County Health Department,Single,Guilford,"30,318,024.00","432,981.00",70.02
2004,Guilford County Health Department,Single,Guilford,"31,413,976.00","436,845.00",71.91
2005,Guilford County Health Department,Single,Guilford,"32,698,025.00","448,192.00",72.96
2006,Guilford County Health Department,Single,Guilford,"34,095,107.00","454,488.00",75.02
2007,Guilford County Health Department,Single,Guilford,"34,621,959.00","468,466.00",73.90
2008,Guilford County Health Department,Single,Guilford,"36,124,028.00","474,323.00",76.16
2009,Guilford County Health Department,Single,Guilford,"37,030,338.00","484,180.00",76.48
2010,Guilford County Health Department,Single,Guilford,"36,994,870.00","488,406.00",75.75
2011,Guilford County Health Department,Single,Guilford,"34,915,224.00","494,953.00",70.54
2012,Guilford County Health Department,Single,Guilford,"30,741,310.00","501,431.00",61.31
2013,Guilford County Health Department,Single,Guilford,"31,257,273.00","506,400.00",61.72
2014,Guilford County Health Department,Single,Guilford,"29,323,811.00","511,636.00",57.31
2015,Guilford County Health Department,Single,Guilford,"29,812,115.00","516,493.00",57.72
2016,Guilford County Health Department,Single,Guilford,"30,106,801.00","523,934.00",57.46
2017,Guilford County Health Department,Single,Guilford,"30,893,221.00","528,243.00",58.48
2018,Guilford County Health Department,Single,Guilford,"31,664,164.00","534,346.00",59.26
2019,Guilford County Health Department,Single,Guilford,"33,529,676.00","539,666.00",62.13
1999,Henderson County Health Department,Single,Henderson,"3,447,901.00","87,985.00",39.19
2000,Henderson County Health Department,Single,Henderson,"3,724,018.00","87,637.00",42.49
2001,Henderson County Health Department,Single,Henderson,"3,961,636.00","91,422.00",43.33
2002,Henderson County Health Department,Single,Henderson,"4,094,184.00","92,800.00",44.12
2003,Henderson County Health Department,Single,Henderson,"4,561,118.00","94,417.00",48.31
2004,Henderson County Health Department,Single,Henderson,"4,917,759.00","95,885.00",51.29
2005,Henderson County Health Department,Single,Henderson,"5,079,229.00","97,357.00",52.17
2006,Henderson County Health Department,Single,Henderson,"4,524,543.00","100,045.00",45.23
2007,Henderson County Health Department,Single,Henderson,"5,123,841.00","102,172.00",50.15
2008,Henderson County Health Department,Single,Henderson,"5,189,325.00","104,086.00",49.86
2009,Henderson County Health Department,Single,Henderson,"5,756,425.00","105,395.00",54.62
2010,Henderson County Health Department,Single,Henderson,"5,844,857.00","106,740.00",54.76
2011,Henderson County Health Department,Single,Henderson,"5,907,205.00","107,244.00",55.08
2012,Henderson County Health Department,Single,Henderson,"5,415,206.00","107,740.00",50.26
2013,Henderson County Health Department,Single,Henderson,"5,554,933.00","108,752.00",51.08
2014,Henderson County Health Department,Single,Henderson,"5,438,219.00","110,485.00",49.22
2015,Henderson County Health Department,Single,Henderson,"5,705,652.00","111,854.00",51.01
2016,Henderson County Health Department,Single,Henderson,"6,230,056.00","113,889.00",54.70
2017,Henderson County Health Department,Single,Henderson,"6,401,837.00","115,384.00",55.48
2018,Henderson County Health Department,Single,Henderson,"6,787,190.00","116,857.00",58.08
2019,Henderson County Health Department,Single,Henderson,"6,998,090.00","118,312.00",59.15
1999,Iredell County Health Department,Single,Iredell,"3,958,273.00","120,270.00",32.91
2000,Iredell County Health Department,Single,Iredell,"4,101,054.00","123,593.00",33.18
2001,Iredell County Health Department,Single,Iredell,"4,368,675.00","127,923.00",34.15
2002,Iredell County Health Department,Single,Iredell,"4,591,632.00","130,463.00",35.19
